Population,Generation,Stage,Size,Weight,MMR,SMR,Temperature,Chamber
LTC1,5,2,m,0.476,0.614055547,0.105405867,L,2
LTC1,5,2,m,0.461,0.537731328,0.149827449,L,3
LTC1,5,2,m,0.56,0.867488164,0.189294566,L,4
LTC1,5,2,l,0.964,1.79487593,0.218479774,L,5
LTC3,5,2,m,0.272,0.453784885,0.072920315,L,6
LTC3,5,2,m,0.426,0.697145236,0.241869128,L,9
LTC3,5,2,m,0.593,0.521469455,0.186264638,L,10
LTC3,5,2,l,0.654,1.273831779,0.144309014,L,11
LTC3,5,2,l,0.831,1.28334506,0.137229582,L,12
HTC5,5,2,m,0.385,0.842320355,0.086087564,H,1
HTC5,5,2,l,0.566,0.536823702,0.088710918,H,2
HTC5,5,2,l,0.796,2.066982784,0.164806077,H,3
HTC5,5,2,l,0.85,1.653546603,0.213070758,H,4
HTC5,5,2,l,0.986,1.729580343,0.26600017,H,5
HTC5,4,3,m,0.404,1.437990999,0.158748002,H,1
HTC5,4,3,m,0.492,1.635270296,0.223007717,H,2
HTC5,4,3,l,0.653,1.208439347,0.249291938,H,3
HTC5,4,3,l,0.9,1.465051408,0.359292613,H,4
HTC5,4,3,l,0.952,2.063808048,0.339952008,H,5
HTC4,4,3,m,0.578,1.025790429,0.188826935,H,1
HTC4,4,3,m,0.542,1.090600975,0.256024718,H,2
HTC4,4,3,l,0.644,0.744532527,0.25170418,H,3
HTC4,4,3,l,0.825,1.780479549,0.307946341,H,4
HTC4,4,3,l,1.024,2.455255428,0.339118548,H,5
LTC1,4,1,s,0.063,0.257421205,0.043325862,L,1
LTC1,4,1,s,0.096,0.279233461,0.037814269,L,2
LTC1,4,1,s,0.219,0.943854676,0.032767158,L,3
LTC1,4,1,s,0.196,0.531349916,0.134148073,L,4
LTC1,4,1,m,0.63,1.066187991,0.163513728,L,5
LTC3,4,1,s,0.125,0.441035982,0.121239284,L,6
LTC3,4,1,s,0.275,0.713198091,0.142192383,L,7
LTC3,4,1,s,0.354,1.013437959,0.008128377,L,10
LTC3,4,1,m,0.392,0.686501225,0.172514405,L,11
LTC3,4,1,m,0.47,0.806023686,0.176732532,L,12
LTC1,4,2,m,0.164,0.450288052,0.069217735,L,1
LTC1,4,2,m,0.54,1.155891567,0.220630855,L,2
LTC1,4,2,l,0.816,1.332233146,0.195911972,L,3
LTC1,4,2,l,0.72,0.799996965,0.197801109,L,4
LTC1,4,2,l,1.175,2.156698185,0.294819593,L,5
HTC5,4,1,s,0.091,0.373785825,0.094678817,H,1
HTC5,4,1,s,0.119,0.428329648,0.04342148,H,2
HTC5,4,1,s,0.231,0.713988461,0.186340981,H,3
HTC5,4,1,s,0.259,1.027187802,0.197996251,H,4
HTC5,4,1,m,0.364,0.808122551,0.134554984,H,5
LTC3,4,2,m,0.585,1.209676524,0.02742543,L,6
LTC3,4,2,l,0.724,0.513344585,0.001994865,L,9
LTC3,4,2,l,0.902,1.556397564,0.195577407,L,10
LTC3,4,2,l,1.038,2.630368706,0.270738101,L,11
LTC3,4,2,l,1.086,1.492269927,0.264259084,L,12
