Compa No.,Population,Temperature,Generation,Weight,Length,Stage
TANK3.2,HTC5,H,4,NA,32,Mature
TANK3.2,HTC5,H,4,NA,32,Mature
TANK3.2,HTC5,H,4,NA,32,Mature
TANK3.2,HTC5,H,4,NA,32,Mature
TANK3.2,HTC5,H,4,NA,32,Mature
TANK3.2,HTC5,H,4,NA,32,Mature
TANK3.2,HTC5,H,4,NA,32,Mature
TANK3.2,HTC5,H,4,NA,32,Mature
TANK3.2,HTC5,H,4,NA,32,Mature
TANK3.2,HTC5,H,4,NA,32,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,33,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
TANK3.2,HTC5,H,4,NA,34,Mature
